service	aliases	path
Amazon API Gateway	api gateway,api,rest api	assets/icons/aws/api-gateway.excalidraw.json
Amazon Aurora	aurora,rds aurora,relational database	assets/icons/aws/aurora.excalidraw.json
Amazon CloudWatch	cloudwatch,cloud watch,monitoring	assets/icons/aws/cloud-watch.excalidraw.json
Amazon Cognito	cognito,user pool,identity pool	assets/icons/aws/cognito.excalidraw.json
Amazon DynamoDB	dynamodb,nosql	assets/icons/aws/dynamodb.excalidraw.json
Amazon EventBridge	eventbridge,event bridge,event bus	assets/icons/aws/event-bridge.excalidraw.json
Amazon EventBridge Pipes	eventbridge pipe,event bridge pipe,pipes	assets/icons/aws/event-bridge-pipe.excalidraw.json
Amazon Kinesis	kinesis,data stream,streaming	assets/icons/aws/kinesis.excalidraw.json
Amazon S3	s3,object storage,bucket	assets/icons/aws/s3.excalidraw.json
Amazon SES	ses,simple email service,email	assets/icons/aws/ses.excalidraw.json
Amazon SNS	sns,topic,pubsub	assets/icons/aws/sns.excalidraw.json
Amazon SQS	sqs,queue,message queue	assets/icons/aws/sqs.excalidraw.json
AWS Lambda	lambda,function,serverless	assets/icons/aws/lambda.excalidraw.json
AWS Step Functions	step functions,sfn,workflow	assets/icons/aws/step-functions.excalidraw.json
JavaScript resolver	javascript resolver,js resolver,appsync javascript	assets/icons/aws/javascript-resolver.excalidraw.json
VTL resolver	vtl resolver,velocity template,appsync vtl	assets/icons/aws/vtl-resolver.excalidraw.json
